probe_id	gene_id	symbol
1893_s_at	2099	ESR1
1894_f_at	4771	NF2
1895_at	3725	JUN
1896_s_at	4363	ABCC1
1897_at	7049	TGFBR3
1898_at	23650	TRIM29
1899_s_at	5893	RAD52
189_s_at	5329	PLAUR
1900_at	5925	RB1
1901_s_at	2064	ERBB2
1902_at	2067	ERCC1
1903_at	5908	RAP1B
1904_at	26292	MYCBP
1905_s_at	5925	RB1
1906_at	79109	MAPKAP1
1907_at	5933	RBL1
1908_at	2117	ETV3
1909_at	596	BCL2
190_at	8013	NR4A3
1910_s_at	596	BCL2
1911_s_at	1647	GADD45A
1912_s_at	324	APC
1913_at	901	CCNG2
1914_at	8900	CCNA1
1915_s_at	2353	FOS
1916_s_at	2353	FOS
1917_at	5894	RAF1
1918_at	6497	SKI
1919_at	7409	VAV1
191_at	100129528	MUC8
1920_s_at	900	CCNG1
1921_at	5923	RASGRF1
1922_g_at	5923	RASGRF1
1923_at	892	CCNC
1924_at	902	CCNH
1925_at	899	CCNF
1926_at	7423	VEGFB
1927_s_at	94	ACVRL1
1928_s_at	4087	SMAD2
1929_at	284	ANGPT1
192_at	6879	TAF7
1930_at	8714	ABCC3
1931_at	10257	ABCC4
1932_at	10057	ABCC5
1933_g_at	10057	ABCC5
1934_s_at	7424	VEGFC
1935_at	4194	MDM4
1936_s_at	4609	MYC
1938_at	6714	SRC
1939_at	7157	TP53
1940_at	3845	KRAS
1941_at	6502	SKP2
1942_s_at	1019	CDK4
1943_at	890	CCNA2
1944_f_at	4292	MLH1
1945_at	891	CCNB1
1946_at	51352	WT1-AS
1947_g_at	51352	WT1-AS
1948_f_at	4843	NOS2
194_at	856	CATR1
1950_s_at	4088	SMAD3
1951_at	285	ANGPT2
1952_s_at	4090	SMAD5
1953_at	7422	VEGFA
1954_at	3791	KDR
1955_s_at	4091	SMAD6
1957_s_at	7046	TGFBR1
1959_at	51582	AZIN1
195_s_at	837	CASP4
